segment,state,expected_steps_PURCHASE,expected_steps_DROP
category_1051,ADD_TO_CART,1.7916005933807355,1.6293605059940997
category_1051,START,3.2648083623693376,2.115017399839386
category_1051,VIEW,2.358969768274592,1.1086990309082108
category_1483,ADD_TO_CART,1.7610689616125015,1.5662231773219986
category_1483,START,3.2007168458781363,2.1072841517337677
category_1483,VIEW,2.347978711357717,1.1026451347849446
category_491,ADD_TO_CART,1.6445936139332364,1.4787485599150625
category_491,START,3.0297029702970297,2.134756737836892
category_491,VIEW,2.126028059990324,1.1302021706217653
category_959,ADD_TO_CART,1.6349065004452359,1.6197650690942156
category_959,START,3.071641791044776,2.149626612355737
category_959,VIEW,2.180765805877115,1.1436141155905168
category_342,ADD_TO_CART,1.6393932683790964,1.5496187374190171
category_342,START,3.072463768115942,2.123523254075071
category_342,VIEW,2.216563330380868,1.1173170385689233
